"CARROTS, BABY, (50 X 2oz)",CB50,"Carrots, Baby 30/1#",No,Snakpak,SNAKPAK 50CT,30
"CARROTS, RAINBOW COINS  (50 X 2oz)",CCARR50,"Carrots, Rainbow",No,Snakpak,SNAKPAK 50CT,20
"CARROTS, RAINBOW COINS  (100 X 2oz)",CCARR,"Carrots, Rainbow",No,Snakpak,SNAKPAK 100CT,20
"CARROTS, RAINBOW COINS (50 X 2oz) W/ LIGHT RANCH",CCARR50W,"Carrots, Rainbow",Yes,Snakpak,SNAKPAK 50CT,20
"CARROTS, COINS  (50 X 2oz)",CCAR50,"Carrots,50#",No,Snakpak,SNAKPAK 50CT,32
"CARROTS, COINS  (50 X 2oz) W/ LIGHT RANCH",CCAR50W,"Carrots,50#",Yes,Snakpak,SNAKPAK 50CT,32
CAULIFLOWER FLORET  (50 X 2oz),C,Cauliflower,No,Snakpak,SNAKPAK 50CT,15
CAULIFLOWER FLORET  (50 X 2oz) W/ LIGHT RANCH,CF50W,Cauliflower,Yes,Snakpak,SNAKPAK 50CT,15
CAULIFLOWER FLORET  (50 X 4oz),C,Cauliflower,No,Snakpak,SNAKPAK 50CT,15
CELERY STICKS  (50 X 2oz),CE5,Celery 30 ct,No,Snakpak,SNAKPAK 50CT,32
CELERY STICKS  (50 X 2oz) W/ LIGHT RANCH,CE5W,Celery 30 ct,Yes,Snakpak,SNAKPAK 50CT,32
CELERY STICKS  (50 X 4oz),CE5,Celery 30 ct,No,Snakpak,SNAKPAK 50CT,32
CHERRY TOMATOES SNAKPAK (50 X 2oz),CT,"Tomatoes, Cherry",No,Snakpak,SNAKPAK 50CT,9
CHERRY TOMATOES SNAKPAK (50 X 2oz) W/ LIGHT RANCH,CTW,"Tomatoes, Cherry",Yes,Snakpak,SNAKPAK 50CT,9
"CUCUMBER, COINS (50 X 2oz)",CU5,"Cucumber, Select",No,Snakpak,SNAKPAK 50CT,40
"CUCUMBER, COINS (50 X 2oz) W/ LIGHT RANCH",CU5W,"Cucumber, Select",Yes,Snakpak,SNAKPAK 50CT,40
"CUCUMBER, COINS (50 X 4oz)",CU5,"Cucumber, Select",No,Snakpak,SNAKPAK 50CT,40
"DRAGON FRUIT, WEDGES (50 X 2oz)",DF50,Dragon Fruit 10#,No,Snakpak,SNAKPAK 50CT,5
"GRAPES, RED  (100 X 3oz)",GP,"Grapes, Red SL",No,Snakpak,SNAKPAK 100CT,18
"GRAPES, RED  (50 X 3oz)",GP50,"Grapes, Red SL",No,Snakpak,SNAKPAK 50CT,18
"GRAPES, COTTON CANDY  (50 X 3oz)",GP50,"Grapes, Cotton Candy",No,Snakpak,SNAKPAK 50CT,18
GRAPE TOMATO  (50 X 2oz) W/ LIGHT RANCH,GTW,"Tomatoes, Grape",Yes,Snakpak,SNAKPAK 50CT,9
GRAPE TOMATO  (50 X 2oz),GT,"Tomatoes, Grape",No,Snakpak,SNAKPAK 50CT,9
GREEN BEANS  (50 X 2oz),GB50,Green Beans 10#,No,Snakpak,SNAKPAK 50CT,9.5
"GUAVA, WEDGES  (50 X 2oz)",GAV,Guava,No,Snakpak,SNAKPAK 50CT,10
"HONEYDEW, CUBED, (50 X 2.7oz)",HO50,Honeydews,No,Snakpak,SNAKPAK 50CT,16
"JICAMA, STICKS (50 X 2oz)",JSP,Jicama,No,Snakpak,SNAKPAK 50CT,18
"JICAMA, STICKS (50 X 2oz) W/ LIGHT RANCH",JSPW,Jicama,Yes,Snakpak,SNAKPAK 50CT,18
"KIWI, WEDGED SNAKPAK (50 X 2oz)",KI50,"Kiwi, Bulk",No,Snakpak,SNAKPAK 50CT,18.25
"KIWI, GOLDEN WEDGED SNAKPAK (50 X 2oz)",KI50,Golden Kiwi ,No,Snakpak,SNAKPAK 50CT,18.25
"KUMQUAT WHOLE, (50 X 2oz)",KUM,"Kumquat, Bulk 10#",No,Snakpak,SNAKPAK 50CT,9
"MANGO, CHUNKS (50x2oz)",MANG,Mangoes,No,Snakpak,SNAKPAK 50CT,4.5
ORANGE WEDGE SNAKPAK (50 X 4.7oz.),OW,"Oranges, 113 ct",No,Snakpak,SNAKPAK 50CT,33
"PAPAYA, CHUNKS SNAKPAK (50/2oz)",PAPSP,"Papaya, 9ct",No,Snakpak,SNAKPAK 50CT,20
"PEARS, WEDGED (100 X 2oz)",PE100,"Pears, Green",No,Snakpak,APPLE SNACK PACK 100CT,32
"PEARS, WEDGED (50 X 2oz)",PE50,"Pears, Green",No,Snakpak,APPLE SNACK PACK 50CT,32
"PEPPER STICK, RED, YELLOW, (50 X 2oz)",PSTK100,Pepper Red & Yellow ,No,Snakpak,SNAKPAK 50CT,15
"PEPPER STICKS, SNAKPAK (50 X 2oz)",PSTK,"Peppers, Green",No,Snakpak,SNAKPAK 50CT,18
PINEAPPLE  (50 X 2.3oz),PS,Pineapples,No,Snakpak,SNAKPAK 50CT,8.5
PINEAPPLE PINK (50 X 2.3oz),PS,Pink Pineapples,No,Snakpak,SNAKPAK 50CT,8.5
"RADISH, MATCHSTICKS, SNAKPAK (50 X 2oz)",R,"Radishes, 40#",No,Snakpak,SNAKPAK 50CT,39
"RADISH, MATCHSTICKS, SNAKPAK (50 X 2oz) W/ LIGHT RANCH",RAD5,"Radishes, 40#",Yes,Snakpak,SNAKPAK 50CT,39
"SQUASH, HALFMOON (50 X 2 oz) W/ LIGHT RANCH",SQ50W,"Squash, Yellow Full",Yes,Snakpak,SNAKPAK 50CT,35
"SQUASH, HALF-MOON (50 X 2oz)",SQ50,"Squash, Yellow Full",No,Snakpak,SNAKPAK 50CT,35
"STRAWBERRIES, TRIMMED (50 X 2oz)",STR50,Strawberries ,No,Snakpak,SNAKPAK 50CT,8
